"03/27/2000",1234500001,"ADMINISTRATOR","00000","","F",5000,0,0,5000
"03/27/2000",1234500002,"John Lennon","10006","C","B",1211.49,5756.26,6.23,5000
"03/27/2000",1234500003,"John Lennon","10006","C","T",1000,4756.26,1006.23,5000
"03/27/2000",1234500004,"Elton John","10004","C","D",1530,5530,458000.1,5000
"03/27/2000",1234500005,"Elton John","10004","C","B",23.99,5504.76,458000.1,5000
"03/27/2000",1234500006,"Elton John","10004","C","B",587.68,4915.83,458000.1,5000
"03/27/2000",1234500007,"Sean Connery","10008","C","W",200,6854.43,8.32,4800
"03/29/2000",1234500008,"ADMINISTRATOR","00000","","F",5000,0,0,5000
"03/29/2000",1234500009,"Carlos Santana","10003","S","W",250,3,300,4750
"03/29/2000",1234500010,"Cat Stevens","10005","C","D",1500,1559.7,50,4750
"03/29/2000",1234500011,"Cat Stevens","10005","C","D",1425,2984.7,50,4750
"03/29/2000",1234500012,"Cat Stevens","10005","C","W",1000,2984.7,50,3750
"03/29/2000",1234500013,"Cat Stevens","10005","C","W",1000,1984.7,50,2750
"03/29/2000",1234500014,"ADMINISTRATOR","00000","","R",5000,0,0,7750
"03/29/2000",1234500015,"Elton John","10004","S","T",98000,102915.8,360000.1,7750
"03/30/2000",1234500016,"ADMINISTRATOR","00000","","F",5000,0,0,5000
"03/30/2000",1234500017,"Remington Steele","10009","S","T",5000,5000,4857,5000
"03/30/2000",1234500018,"Remington Steele","10009","C","B",589.74,4409.01,4857,5000
"03/30/2000",1234500019,"Remington Steele","10009","C","B",782.65,3625.11,4857,5000
"03/30/2000",1234500020,"Remington Steele","10009","C","B",129.88,3493.98,4857,5000
"03/30/2000",1234500021,"Remington Steele","10009","C","W",500,3493.98,4857,4500
"03/30/2000",1234500022,"Stevie Ray Vaughan","10007","S","D",4580,7,5280.5,4500
"03/30/2000",1234500023,"Stevie Ray Vaughan","10007","S","T",1000,1007,4280.5,4500
"03/30/2000",1234500024,"Eric Clapton","10002","S","W",1000,1306.75,5000,3500
"03/30/2000",1234500025,"Eric Clapton","10002","S","W",850,1306.75,4000,2650
"03/30/2000",1234500026,"Jerry Cann","10001","S","W",560,10.11,1259.85,2090
"03/30/2000",1234500027,"Jerry Cann","10001","C","B",6.99,1.87,699.85,2090
"03/30/2000",1234500028,"ADMINISTRATOR","00000","","R",5000,0,0,7090
"03/30/2000",1234500029,"Carlos Santana","10003","S","W",100,3,300,6990
"03/31/2000",1234500030,"ADMINISTRATOR","00000","","F",5000,0,0,5000
"03/31/2000",1234500031,"Elton John","10004","S","D",158785,102915.8,518785.1,5000
"05/05/2003",1234500045,"ADMINISTRATOR","00000","","F",5000,0,0,5000
"05/05/2003",1234500056,"Jerry Cann","10001","S","W",250,4751.87,12199.85,3500
"05/05/2003",1234500057,"Jerry Cann","10001","S","D",250,4751.87,12449.85,3500
"05/05/2003",1234500058,"Jerry Cann","10001","C","W",250,4501.87,12449.85,3250
"05/05/2003",1234500059,"Jerry Cann","10001","C","P",0,4501.87,12449.85,3250
"05/05/2003",1234500060,"Jerry Cann","10001","S","D",1542,4501.87,13991.85,3250
"05/05/2003",1234500061,"Jerry Cann","10001","C","D",250,4751.87,13991.85,3250
"05/05/2003",1234500062,"Jerry Cann","10001","C","W",200,4551.87,13991.85,3050
"05/05/2003",1234500063,"Jerry Cann","10001","S","T",200,4751.87,13791.85,3050
"05/05/2003",1234500064,"Jerry Cann","10001","S","W",200,4751.87,13591.85,2850
"05/05/2003",1234500065,"Jerry Cann","10001","C","D",54,4805.87,13591.85,2850
"05/06/2003",1234500066,"ADMINISTRATOR","00000","","F",5000,0,0,5000
"05/06/2003",1234500067,"Jerry Cann","10001","S","D",250,4805.87,13841.85,5000
"05/06/2003",1234500068,"Jerry Cann","10001","S","W",400,4805.87,13441.85,4600
"05/06/2003",1234500069,"Jerry Cann","10001","S","T",250,5055.87,13191.85,4600
